transactionid,productid,referenceorderid,referenceorderlineid,transactiondate,transactiontype,quantity,actualcost,modifieddate
1,1,1,1,2011-04-16,P,4,50.26,2011-04-16
2,359,2,1,2011-04-16,P,3,45.12,2011-04-16
3,360,2,2,2011-04-16,P,3,45.5805,2011-04-16
4,530,3,1,2011-04-16,P,550,16.086,2011-04-16
5,4,4,1,2011-04-16,P,3,57.0255,2011-04-16
6,512,5,1,2011-04-30,P,550,37.086,2011-04-30
7,513,6,1,2011-04-30,P,550,26.5965,2011-04-30
8,317,7,1,2011-04-30,P,550,27.0585,2011-04-30
9,318,7,2,2011-04-30,P,550,33.579,2011-04-30
10,319,7,3,2011-04-30,P,550,46.0635,2011-04-30
11,403,8,1,2011-04-30,P,3,47.4705,2011-04-30
12,404,8,2,2011-04-30,P,3,45.3705,2011-04-30
13,405,8,3,2011-04-30,P,3,49.644,2011-04-30
14,406,8,4,2011-04-30,P,3,45.3705,2011-04-30
15,407,8,5,2011-04-30,P,3,43.2705,2011-04-30
16,709,43659,10,2011-05-31,S,6,6.175,2011-05-31
17,711,43659,12,2011-05-31,S,4,20.1865,2011-05-31
18,712,43659,11,2011-05-31,S,2,5.6187,2011-05-31
19,714,43659,8,2011-05-31,S,3,31.2437,2011-05-31
20,716,43659,9,2011-05-31,S,1,31.2437,2011-05-31
21,771,43659,4,2011-05-31,S,1,2447.9928,2011-05-31
22,772,43659,5,2011-05-31,S,1,2447.9928,2011-05-31
23,773,43659,6,2011-05-31,S,2,2447.9928,2011-05-31
24,774,43659,7,2011-05-31,S,1,2447.9928,2011-05-31
25,776,43659,1,2011-05-31,S,1,2429.9928,2011-05-31
26,777,43659,2,2011-05-31,S,3,2429.9928,2011-05-31
27,778,43659,3,2011-05-31,S,1,2429.9928,2011-05-31
28,758,43660,2,2011-05-31,S,1,1049.7528,2011-05-31
29,762,43660,1,2011-05-31,S,1,503.3507,2011-05-31
30,708,43661,15,2011-05-31,S,5,20.1865,2011-05-31
31,711,43661,9,2011-05-31,S,2,20.1865,2011-05-31
32,712,43661,4,2011-05-31,S,4,5.6187,2011-05-31
33,715,43661,5,2011-05-31,S,4,31.2437,2011-05-31
34,716,43661,13,2011-05-31,S,2,31.2437,2011-05-31
35,741,43661,10,2011-05-31,S,2,1009.73,2011-05-31
36,742,43661,6,2011-05-31,S,2,891.2004,2011-05-31
37,743,43661,2,2011-05-31,S,1,881.4687,2011-05-31
38,745,43661,1,2011-05-31,S,1,998.704,2011-05-31
39,747,43661,3,2011-05-31,S,2,881.4687,2011-05-31
40,773,43661,12,2011-05-31,S,2,2447.9928,2011-05-31
41,775,43661,7,2011-05-31,S,3,2429.9928,2011-05-31
42,776,43661,11,2011-05-31,S,4,2429.9928,2011-05-31
43,777,43661,14,2011-05-31,S,2,2429.9928,2011-05-31
44,778,43661,8,2011-05-31,S,2,2429.9928,2011-05-31
45,722,43662,15,2011-05-31,S,3,220.2496,2011-05-31
46,725,43662,5,2011-05-31,S,3,226.8571,2011-05-31
47,726,43662,18,2011-05-31,S,1,226.8571,2011-05-31
48,729,43662,14,2011-05-31,S,1,226.8571,2011-05-31
49,730,43662,3,2011-05-31,S,2,226.8571,2011-05-31
50,732,43662,12,2011-05-31,S,1,440.1742,2011-05-31
51,733,43662,19,2011-05-31,S,1,440.1742,2011-05-31
52,738,43662,20,2011-05-31,S,1,220.2496,2011-05-31
53,749,43662,16,2011-05-31,S,1,2576.3544,2011-05-31
54,753,43662,9,2011-05-31,S,1,2576.3544,2011-05-31
55,754,43662,4,2011-05-31,S,4,1049.7528,2011-05-31
56,755,43662,22,2011-05-31,S,1,1049.7528,2011-05-31
57,756,43662,10,2011-05-31,S,1,1049.7528,2011-05-31
58,758,43662,13,2011-05-31,S,6,1049.7528,2011-05-31
59,760,43662,17,2011-05-31,S,3,503.3507,2011-05-31
60,762,43662,6,2011-05-31,S,5,503.3507,2011-05-31
61,763,43662,11,2011-05-31,S,3,503.3507,2011-05-31
62,764,43662,1,2011-05-31,S,3,503.3507,2011-05-31
63,765,43662,7,2011-05-31,S,3,503.3507,2011-05-31
64,766,43662,21,2011-05-31,S,3,503.3507,2011-05-31
65,768,43662,8,2011-05-31,S,2,503.3507,2011-05-31
66,770,43662,2,2011-05-31,S,5,503.3507,2011-05-31
67,760,43663,1,2011-05-31,S,1,503.3507,2011-05-31
68,714,43664,3,2011-05-31,S,1,31.2437,2011-05-31
69,716,43664,4,2011-05-31,S,1,31.2437,2011-05-31
70,771,43664,6,2011-05-31,S,3,2447.9928,2011-05-31
71,772,43664,1,2011-05-31,S,1,2447.9928,2011-05-31
72,773,43664,7,2011-05-31,S,1,2447.9928,2011-05-31
73,775,43664,2,2011-05-31,S,4,2429.9928,2011-05-31
74,777,43664,5,2011-05-31,S,2,2429.9928,2011-05-31
75,778,43664,8,2011-05-31,S,1,2429.9928,2011-05-31
76,707,43665,3,2011-05-31,S,1,20.1865,2011-05-31
77,709,43665,9,2011-05-31,S,6,6.175,2011-05-31
78,711,43665,1,2011-05-31,S,2,20.1865,2011-05-31
79,712,43665,6,2011-05-31,S,2,5.6187,2011-05-31
80,715,43665,4,2011-05-31,S,2,31.2437,2011-05-31
81,773,43665,2,2011-05-31,S,1,2447.9928,2011-05-31
82,775,43665,7,2011-05-31,S,2,2429.9928,2011-05-31
83,776,43665,10,2011-05-31,S,1,2429.9928,2011-05-31
84,777,43665,5,2011-05-31,S,2,2429.9928,2011-05-31
85,778,43665,8,2011-05-31,S,1,2429.9928,2011-05-31
86,732,43666,3,2011-05-31,S,1,440.1742,2011-05-31
87,753,43666,2,2011-05-31,S,1,2576.3544,2011-05-31
88,756,43666,4,2011-05-31,S,1,1049.7528,2011-05-31
89,764,43666,1,2011-05-31,S,1,503.3507,2011-05-31
90,766,43666,6,2011-05-31,S,1,503.3507,2011-05-31
91,768,43666,5,2011-05-31,S,2,503.3507,2011-05-31
92,710,43667,1,2011-05-31,S,3,6.175,2011-05-31
93,773,43667,2,2011-05-31,S,1,2447.9928,2011-05-31
94,775,43667,4,2011-05-31,S,1,2429.9928,2011-05-31
95,778,43667,3,2011-05-31,S,1,2429.9928,2011-05-31
96,707,43668,7,2011-05-31,S,2,20.1865,2011-05-31
97,708,43668,27,2011-05-31,S,1,20.1865,2011-05-31
98,711,43668,8,2011-05-31,S,2,20.1865,2011-05-31
99,712,43668,10,2011-05-31,S,4,5.6187,2011-05-31
100,714,43668,25,2011-05-31,S,4,31.2437,2011-05-31
101,715,43668,5,2011-05-31,S,6,31.2437,2011-05-31
102,716,43668,19,2011-05-31,S,1,31.2437,2011-05-31
103,722,43668,26,2011-05-31,S,3,220.2496,2011-05-31
104,725,43668,18,2011-05-31,S,2,226.8571,2011-05-31
105,726,43668,15,2011-05-31,S,3,226.8571,2011-05-31
106,729,43668,11,2011-05-31,S,2,226.8571,2011-05-31
107,730,43668,6,2011-05-31,S,6,226.8571,2011-05-31
108,732,43668,21,2011-05-31,S,4,440.1742,2011-05-31
109,733,43668,28,2011-05-31,S,3,440.1742,2011-05-31
110,738,43668,24,2011-05-31,S,3,220.2496,2011-05-31
111,753,43668,2,2011-05-31,S,2,2576.3544,2011-05-31
112,754,43668,9,2011-05-31,S,2,1049.7528,2011-05-31
113,755,43668,12,2011-05-31,S,3,1049.7528,2011-05-31
114,756,43668,1,2011-05-31,S,3,1049.7528,2011-05-31
115,758,43668,22,2011-05-31,S,6,1049.7528,2011-05-31
116,760,43668,3,2011-05-31,S,7,503.3507,2011-05-31
117,761,43668,13,2011-05-31,S,3,503.3507,2011-05-31
118,762,43668,23,2011-05-31,S,4,503.3507,2011-05-31
119,763,43668,29,2011-05-31,S,3,503.3507,2011-05-31
120,764,43668,16,2011-05-31,S,2,503.3507,2011-05-31
121,765,43668,4,2011-05-31,S,6,503.3507,2011-05-31
122,766,43668,17,2011-05-31,S,2,503.3507,2011-05-31
123,768,43668,20,2011-05-31,S,2,503.3507,2011-05-31
124,770,43668,14,2011-05-31,S,2,503.3507,2011-05-31
125,747,43669,1,2011-05-31,S,1,881.4687,2011-05-31
126,709,43670,2,2011-05-31,S,2,6.175,2011-05-31
127,710,43670,1,2011-05-31,S,1,6.175,2011-05-31
128,773,43670,3,2011-05-31,S,2,2447.9928,2011-05-31
129,776,43670,4,2011-05-31,S,1,2429.9928,2011-05-31
130,708,43671,11,2011-05-31,S,1,20.1865,2011-05-31
131,711,43671,10,2011-05-31,S,1,20.1865,2011-05-31
132,714,43671,2,2011-05-31,S,2,31.2437,2011-05-31
133,716,43671,9,2011-05-31,S,1,31.2437,2011-05-31
134,732,43671,5,2011-05-31,S,2,440.1742,2011-05-31
135,753,43671,1,2011-05-31,S,1,2576.3544,2011-05-31
136,755,43671,7,2011-05-31,S,2,1049.7528,2011-05-31
137,756,43671,3,2011-05-31,S,1,1049.7528,2011-05-31
138,763,43671,6,2011-05-31,S,2,503.3507,2011-05-31
139,764,43671,8,2011-05-31,S,2,503.3507,2011-05-31
140,768,43671,4,2011-05-31,S,2,503.3507,2011-05-31
141,709,43672,1,2011-05-31,S,6,6.175,2011-05-31
142,774,43672,3,2011-05-31,S,1,2447.9928,2011-05-31
143,776,43672,2,2011-05-31,S,2,2429.9928,2011-05-31
144,707,43673,11,2011-05-31,S,4,20.1865,2011-05-31
145,708,43673,9,2011-05-31,S,2,20.1865,2011-05-31
146,711,43673,10,2011-05-31,S,1,20.1865,2011-05-31
147,712,43673,8,2011-05-31,S,1,5.6187,2011-05-31
148,715,43673,2,2011-05-31,S,3,31.2437,2011-05-31
149,729,43673,3,2011-05-31,S,1,226.8571,2011-05-31
150,738,43673,6,2011-05-31,S,2,220.2496,2011-05-31
151,754,43673,1,2011-05-31,S,1,1049.7528,2011-05-31
152,761,43673,4,2011-05-31,S,2,503.3507,2011-05-31
153,762,43673,5,2011-05-31,S,1,503.3507,2011-05-31
154,770,43673,7,2011-05-31,S,2,503.3507,2011-05-31
155,758,43674,1,2011-05-31,S,3,1049.7528,2011-05-31
156,708,43675,4,2011-05-31,S,1,20.1865,2011-05-31
157,711,43675,2,2011-05-31,S,5,20.1865,2011-05-31
158,712,43675,7,2011-05-31,S,2,5.6187,2011-05-31
159,715,43675,9,2011-05-31,S,3,31.2437,2011-05-31
160,738,43675,3,2011-05-31,S,2,220.2496,2011-05-31
161,754,43675,8,2011-05-31,S,1,1049.7528,2011-05-31
162,758,43675,6,2011-05-31,S,2,1049.7528,2011-05-31
163,761,43675,1,2011-05-31,S,4,503.3507,2011-05-31
164,762,43675,5,2011-05-31,S,2,503.3507,2011-05-31
165,709,43676,5,2011-05-31,S,4,6.175,2011-05-31
166,710,43676,3,2011-05-31,S,1,6.175,2011-05-31
167,775,43676,4,2011-05-31,S,3,2429.9928,2011-05-31
168,776,43676,1,2011-05-31,S,2,2429.9928,2011-05-31
169,778,43676,2,2011-05-31,S,2,2429.9928,2011-05-31
170,707,43677,10,2011-05-31,S,1,20.1865,2011-05-31
171,708,43677,5,2011-05-31,S,2,20.1865,2011-05-31
172,712,43677,9,2011-05-31,S,5,5.6187,2011-05-31
173,715,43677,1,2011-05-31,S,3,31.2437,2011-05-31
174,729,43677,12,2011-05-31,S,2,226.8571,2011-05-31
175,753,43677,2,2011-05-31,S,1,2576.3544,2011-05-31
176,754,43677,11,2011-05-31,S,1,1049.7528,2011-05-31
177,758,43677,3,2011-05-31,S,1,1049.7528,2011-05-31
178,760,43677,6,2011-05-31,S,4,503.3507,2011-05-31
179,763,43677,8,2011-05-31,S,1,503.3507,2011-05-31
180,765,43677,7,2011-05-31,S,2,503.3507,2011-05-31
181,770,43677,4,2011-05-31,S,1,503.3507,2011-05-31
182,707,43678,19,2011-05-31,S,1,20.1865,2011-05-31
183,708,43678,8,2011-05-31,S,4,20.1865,2011-05-31
184,711,43678,18,2011-05-31,S,3,20.1865,2011-05-31
185,712,43678,7,2011-05-31,S,3,5.6187,2011-05-31
186,715,43678,15,2011-05-31,S,2,31.2437,2011-05-31
187,716,43678,12,2011-05-31,S,1,31.2437,2011-05-31
188,725,43678,11,2011-05-31,S,2,226.8571,2011-05-31
189,729,43678,9,2011-05-31,S,2,226.8571,2011-05-31
190,732,43678,4,2011-05-31,S,2,440.1742,2011-05-31
191,738,43678,2,2011-05-31,S,2,220.2496,2011-05-31
192,754,43678,16,2011-05-31,S,1,1049.7528,2011-05-31
193,755,43678,17,2011-05-31,S,1,1049.7528,2011-05-31
194,756,43678,10,2011-05-31,S,1,1049.7528,2011-05-31
195,758,43678,14,2011-05-31,S,2,1049.7528,2011-05-31
196,760,43678,1,2011-05-31,S,1,503.3507,2011-05-31
197,761,43678,6,2011-05-31,S,2,503.3507,2011-05-31
198,762,43678,5,2011-05-31,S,3,503.3507,2011-05-31
199,765,43678,3,2011-05-31,S,1,503.3507,2011-05-31
200,770,43678,13,2011-05-31,S,1,503.3507,2011-05-31
201,715,43679,3,2011-05-31,S,2,31.2437,2011-05-31
202,760,43679,1,2011-05-31,S,1,503.3507,2011-05-31
203,770,43679,2,2011-05-31,S,2,503.3507,2011-05-31
204,707,43680,4,2011-05-31,S,4,20.1865,2011-05-31
205,708,43680,12,2011-05-31,S,2,20.1865,2011-05-31
206,711,43680,6,2011-05-31,S,1,20.1865,2011-05-31
207,712,43680,14,2011-05-31,S,3,5.6187,2011-05-31
208,715,43680,7,2011-05-31,S,2,31.2437,2011-05-31
209,725,43680,8,2011-05-31,S,2,226.8571,2011-05-31
210,729,43680,5,2011-05-31,S,1,226.8571,2011-05-31
