workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
1,722,8,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
2,725,15,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
3,726,9,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
4,729,16,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
5,730,14,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
6,732,16,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
7,733,4,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
8,738,19,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
9,741,2,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
10,742,3,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
11,743,1,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
12,745,1,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
13,747,4,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
14,748,2,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
15,749,4,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
16,753,14,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
17,754,27,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
18,755,11,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
19,756,14,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
20,758,46,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
21,760,43,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
22,761,19,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
23,762,44,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
24,763,20,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
25,764,14,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
26,765,30,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
27,766,11,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
28,767,1,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
29,768,13,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
30,770,29,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
31,771,10,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
32,772,5,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
33,773,17,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
34,774,7,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
35,775,22,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
36,776,16,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
37,777,23,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
38,778,20,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
39,516,120,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
40,517,224,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
41,518,98,1,2011-06-03,2011-06-19,2011-06-14,7.0,2011-06-19
42,519,18,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
43,717,4,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
44,721,14,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
45,722,30,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
46,723,11,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
47,724,1,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
48,725,44,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
49,726,20,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
50,727,14,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
51,729,43,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
52,730,19,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
53,731,14,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
54,733,46,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
55,734,27,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
56,735,11,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
57,736,13,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
58,738,29,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
59,739,5,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
60,740,17,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
61,741,7,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
62,743,16,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
63,744,23,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
64,745,20,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
65,747,22,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
66,748,10,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
67,806,322,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
68,807,138,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
69,810,120,3,2011-06-03,2011-06-19,2011-06-14,11.0,2011-06-19
70,811,224,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
71,812,98,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
72,813,18,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
73,817,120,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
74,818,224,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
75,819,98,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
76,820,18,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
77,825,120,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
78,826,224,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
79,827,98,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
80,828,18,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
81,894,460,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
82,945,460,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
83,950,322,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
84,951,138,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
85,994,224,4,2011-06-03,2011-06-19,2011-06-14,14.0,2011-06-19
86,995,98,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
87,996,138,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
88,3,4600,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
89,324,1148,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
90,327,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
91,328,240,4,2011-06-03,2011-06-13,2011-06-14,15.0,2011-06-13
92,329,680,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
93,398,460,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
94,399,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
95,400,448,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
96,401,472,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
97,529,460,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
98,532,2296,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
99,533,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
100,534,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
101,802,305,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
102,803,118,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
103,804,151,0,2011-06-03,2011-06-19,2011-06-14,,2011-06-19
104,316,1148,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
105,331,1148,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
106,350,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
107,531,574,0,2011-06-03,2011-06-13,2011-06-14,,2011-06-13
108,749,1,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
109,750,1,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
110,771,1,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
111,778,1,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
112,516,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
113,519,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
114,717,1,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
115,718,1,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
116,745,1,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
117,748,1,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
118,807,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
119,810,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
120,813,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
121,817,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
122,820,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
123,825,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
124,828,2,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
125,894,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
126,945,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
127,951,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
128,996,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
129,3,40,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
130,324,8,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
131,327,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
132,328,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
133,329,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
134,398,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
135,399,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
136,401,8,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
137,529,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
138,532,16,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
139,533,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
140,534,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
141,804,4,0,2011-06-04,2011-06-15,2011-06-15,,2011-06-15
142,316,8,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
143,331,8,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
144,350,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
145,531,4,0,2011-06-04,2011-06-14,2011-06-15,,2011-06-14
146,751,2,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
147,752,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
148,753,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
149,764,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
150,517,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
151,519,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
152,719,2,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
153,720,1,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
154,721,1,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
155,727,1,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
156,806,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
157,807,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
158,811,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
159,813,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
160,818,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
161,820,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
162,826,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
163,828,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
164,894,5,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
165,945,5,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
166,950,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
167,951,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
168,994,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
169,996,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
170,3,50,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
171,324,10,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
172,327,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
173,329,10,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
174,398,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
175,399,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
176,400,2,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
177,401,8,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
178,529,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
179,532,20,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
180,533,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
181,534,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
182,802,1,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
183,804,4,0,2011-06-05,2011-06-23,2011-06-16,,2011-06-23
184,316,10,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
185,331,10,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
186,350,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
187,531,5,0,2011-06-05,2011-06-15,2011-06-16,,2011-06-15
188,750,1,0,2011-06-06,2011-06-17,2011-06-17,,2011-06-17
