workorderid,productid,operationsequence,locationid,scheduledstartdate,scheduledenddate,actualstartdate,actualenddate,actualresourcehrs,plannedcost,actualcost,modifieddate
13,747,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
13,747,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
13,747,3,30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19
13,747,4,40,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,31.5,31.5,2011-06-19
13,747,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
13,747,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
14,748,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
14,748,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
14,748,3,30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19
14,748,5,45,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,36.0,36.0,2011-06-19
14,748,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
14,748,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
15,749,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
16,753,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
17,754,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
18,755,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
19,756,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
20,758,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
21,760,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
22,761,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
23,762,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
24,763,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
25,764,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
26,765,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
27,766,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
28,767,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
29,768,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
30,770,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
31,771,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
32,772,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
33,773,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
34,774,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
35,775,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
36,776,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
37,777,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
38,778,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
39,516,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
39,516,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
40,517,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
40,517,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
41,518,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
41,518,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
42,519,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
42,519,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
65,747,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
65,747,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
65,747,3,30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19
65,747,4,40,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,31.5,31.5,2011-06-19
65,747,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
65,747,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
66,748,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
66,748,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
66,748,3,30,2011-06-03,2011-06-14,2011-06-03,2011-06-19,1.0,14.5,14.5,2011-06-19
66,748,5,45,2011-06-03,2011-06-14,2011-06-03,2011-06-19,2.0,36.0,36.0,2011-06-19
66,748,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
66,748,7,60,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.0,49.0,49.0,2011-06-19
67,806,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
68,807,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
69,810,1,10,2011-06-03,2011-06-14,2011-06-03,2011-06-19,4.1,92.25,92.25,2011-06-19
69,810,2,20,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.5,87.5,87.5,2011-06-19
69,810,6,50,2011-06-03,2011-06-14,2011-06-03,2011-06-19,3.0,36.75,36.75,2011-06-19
