salesorderid,salesorderdetailid,carriertrackingnumber,orderqty,productid,specialofferid,unitprice,unitpricediscount,rowguid,modifieddate
43659,1,4911-403C-98,1,776,1,2024.994,0.0,b207c96d-d9e6-402b-8470-2cc176c42283,2011-05-31
43659,2,4911-403C-98,3,777,1,2024.994,0.0,7abb600d-1e77-41be-9fe5-b9142cfc08fa,2011-05-31
43659,3,4911-403C-98,1,778,1,2024.994,0.0,475cf8c6-49f6-486e-b0ad-afc6a50cdd2f,2011-05-31
43659,4,4911-403C-98,1,771,1,2039.994,0.0,04c4de91-5815-45d6-8670-f462719fbce3,2011-05-31
43659,5,4911-403C-98,1,772,1,2039.994,0.0,5a74c7d2-e641-438e-a7ac-37bf23280301,2011-05-31
43659,6,4911-403C-98,2,773,1,2039.994,0.0,ce472532-a4c0-45ba-816e-eefd3fd848b3,2011-05-31
43659,7,4911-403C-98,1,774,1,2039.994,0.0,80667840-f962-4ee3-96e0-aeca108e0d4f,2011-05-31
43659,8,4911-403C-98,3,714,1,28.8404,0.0,e9d54907-e7b7-4969-80d9-76ba69f8a836,2011-05-31
43659,9,4911-403C-98,1,716,1,28.8404,0.0,aa542630-bdcd-4ce5-89a0-c1bf82747725,2011-05-31
43659,10,4911-403C-98,6,709,1,5.7,0.0,ac769034-3c2f-495c-a5a7-3b71cdb25d4e,2011-05-31
43659,11,4911-403C-98,2,712,1,5.1865,0.0,06a66921-6b9f-4199-a912-ddafd383472b,2011-05-31
43659,12,4911-403C-98,4,711,1,20.1865,0.0,0e371ee3-253e-4bb0-b813-83cf4224f972,2011-05-31
43660,13,6431-4D57-83,1,762,1,419.4589,0.0,419a1302-ac7a-4044-97b2-66d9d14cd02e,2011-05-31
43660,14,6431-4D57-83,1,758,1,874.794,0.0,5d0b2b03-1d4c-4c34-9696-c14c58e7301c,2011-05-31
43661,15,4E0A-4F89-AE,1,745,1,809.76,0.0,ede1759e-6733-4c7b-a43f-dc6f48002d8a,2011-05-31
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0.0,fe10bf09-d477-485b-9541-27ae8053a6d4,2011-05-31
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0.0,b136852e-24c9-4006-8048-b14aefe6c337,2011-05-31
43661,18,4E0A-4F89-AE,4,712,1,5.1865,0.0,f0f410b6-bc93-4d77-b70d-e4e2465d98ee,2011-05-31
43661,19,4E0A-4F89-AE,4,715,1,28.8404,0.0,ae4cda7d-9b6e-4abb-a391-e9e9ddb10125,2011-05-31
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0.0,054a9d3b-a178-4656-b2b0-9b9bddf1c345,2011-05-31
43661,21,4E0A-4F89-AE,3,775,1,2024.994,0.0,8c342a15-8576-4581-aac9-7ba3bbd8fd8b,2011-05-31
43661,22,4E0A-4F89-AE,2,778,1,2024.994,0.0,b2760b75-3f1a-4dc4-a377-1051c03c8eb8,2011-05-31
43661,23,4E0A-4F89-AE,2,711,1,20.1865,0.0,935a70b5-33ad-473d-921c-8d2c36f0d93e,2011-05-31
43661,24,4E0A-4F89-AE,2,741,1,818.7,0.0,2f911593-e3b8-4adf-b757-7242004ffb8e,2011-05-31
43661,25,4E0A-4F89-AE,4,776,1,2024.994,0.0,e8e15b60-3a73-4507-9368-a4fb27b6ee0b,2011-05-31
43661,26,4E0A-4F89-AE,2,773,1,2039.994,0.0,4373070f-4ebf-4c50-9db0-96bfbe937383,2011-05-31
43661,27,4E0A-4F89-AE,2,716,1,28.8404,0.0,d87d5edb-b899-4e31-b974-06617dbffe08,2011-05-31
43661,28,4E0A-4F89-AE,2,777,1,2024.994,0.0,c5762004-de9e-4339-95e5-89cc8fff873e,2011-05-31
43661,29,4E0A-4F89-AE,5,708,1,20.1865,0.0,6c0d0601-76ff-441d-86d5-8343eb0063e7,2011-05-31
43662,30,2E53-4802-85,3,764,1,419.4589,0.0,2dfd4d76-e020-4b80-a0a5-6463d0c2df73,2011-05-31
43662,31,2E53-4802-85,5,770,1,419.4589,0.0,1f1aa6dc-04a2-48e2-af9f-e46d8f59aa55,2011-05-31
43662,32,2E53-4802-85,2,730,1,183.9382,0.0,5ace6cb5-7341-4d88-9425-56ab7ae512e7,2011-05-31
43662,33,2E53-4802-85,4,754,1,874.794,0.0,dff2a7f2-37f2-4016-bedf-4dbb8c88b631,2011-05-31
43662,34,2E53-4802-85,3,725,1,183.9382,0.0,92897ee9-72a6-49e6-a421-c243b531aff2,2011-05-31
43662,35,2E53-4802-85,5,762,1,419.4589,0.0,1ce18faa-047d-41b1-8cf6-5191c092ab3c,2011-05-31
43662,36,2E53-4802-85,3,765,1,419.4589,0.0,f833cb4a-d6e3-40ac-b383-1c4e7220afef,2011-05-31
43662,37,2E53-4802-85,2,768,1,419.4589,0.0,d8e84dbd-a1ed-41e4-a9a1-0ad95fb9b323,2011-05-31
43662,38,2E53-4802-85,1,753,1,2146.962,0.0,491c561f-6b1e-47d0-95d5-6519654a5f47,2011-05-31
43662,39,2E53-4802-85,1,756,1,874.794,0.0,2ba4cc58-b832-47c0-aef4-d15d029cc083,2011-05-31
43662,40,2E53-4802-85,3,763,1,419.4589,0.0,d5c51a6a-6d12-4ceb-aed4-842e78baf142,2011-05-31
43662,41,2E53-4802-85,1,732,1,356.898,0.0,48420c59-4fbd-4817-a1df-613dce40b18b,2011-05-31
43662,42,2E53-4802-85,6,758,1,874.794,0.0,2c4f704d-c794-4613-9c8b-258619fa20fa,2011-05-31
43662,43,2E53-4802-85,1,729,1,183.9382,0.0,e53f432b-3e71-4f41-9ee8-db05a18d98f9,2011-05-31
43662,44,2E53-4802-85,3,722,1,178.5808,0.0,7c495ef0-4e65-4306-a47f-05f004ce5d4c,2011-05-31
43662,45,2E53-4802-85,1,749,1,2146.962,0.0,0f38e442-512c-4eb4-85c6-27abfb61e2e2,2011-05-31
43662,46,2E53-4802-85,3,760,1,419.4589,0.0,260a3fda-9b77-4c6c-b67b-efe84ed56489,2011-05-31
43662,47,2E53-4802-85,1,726,1,183.9382,0.0,2f0ea518-f085-4b63-a103-342408f6c8a7,2011-05-31
43662,48,2E53-4802-85,1,733,1,356.898,0.0,7ba3862c-3c4f-4e87-8c47-25b411fa21e6,2011-05-31
43662,49,2E53-4802-85,1,738,1,178.5808,0.0,13404868-367f-4863-8327-6a45036d53f5,2011-05-31
43662,50,2E53-4802-85,3,766,1,419.4589,0.0,c88aebde-9041-4a13-a065-a5e95f0ad165,2011-05-31
43662,51,2E53-4802-85,1,755,1,874.794,0.0,7ac1f435-63ee-4d53-a532-42d7a3a610e5,2011-05-31
43663,52,1E90-4FBF-B6,1,760,1,419.4589,0.0,ba432515-892b-445d-b9a7-97f593a24687,2011-05-31
43664,53,2F44-4BA1-BB,1,772,1,2039.994,0.0,22db5fa8-8c63-4a68-a038-435efd6d7ea2,2011-05-31
43664,54,2F44-4BA1-BB,4,775,1,2024.994,0.0,7ce8e484-a956-42e3-8a8d-f677765d1dad,2011-05-31
43664,55,2F44-4BA1-BB,1,714,1,28.8404,0.0,076636af-a24f-40d7-aedc-e1564bb16f0e,2011-05-31
43664,56,2F44-4BA1-BB,1,716,1,28.8404,0.0,c77b6559-1f2b-4f5f-883b-0d66cf71876d,2011-05-31
43664,57,2F44-4BA1-BB,2,777,1,2024.994,0.0,525334a5-1293-4379-8c59-f3b421faadbb,2011-05-31
43664,58,2F44-4BA1-BB,3,771,1,2039.994,0.0,cd7e2e99-9bd7-4964-8511-303c9228cd77,2011-05-31
43664,59,2F44-4BA1-BB,1,773,1,2039.994,0.0,58bfd62d-5822-4c0e-ae02-b35ad7159d6e,2011-05-31
43664,60,2F44-4BA1-BB,1,778,1,2024.994,0.0,0a8bdf35-3273-4ce0-9a62-f07118147b9e,2011-05-31
43665,61,19F0-4638-8E,2,711,1,20.1865,0.0,d74427b2-27e3-4749-b6e0-422ff21d3996,2011-05-31
43665,62,19F0-4638-8E,1,773,1,2039.994,0.0,10755c28-85c8-4db1-b733-e2bd718210ae,2011-05-31
43665,63,19F0-4638-8E,1,707,1,20.1865,0.0,e4a00fc2-6eda-40d7-afb4-b6b4c5b3edee,2011-05-31
43665,64,19F0-4638-8E,2,715,1,28.8404,0.0,3cfb91f3-98ab-46d1-8024-de47b3c4dae2,2011-05-31
43665,65,19F0-4638-8E,2,777,1,2024.994,0.0,268c5514-a052-4d7b-a62a-dfb9f3f8db5e,2011-05-31
43665,66,19F0-4638-8E,2,712,1,5.1865,0.0,9342c497-f31c-4e3e-b390-189a7e7f5b0d,2011-05-31
43665,67,19F0-4638-8E,2,775,1,2024.994,0.0,92f2e542-be52-42e9-94a8-f248bdaa0693,2011-05-31
43665,68,19F0-4638-8E,1,778,1,2024.994,0.0,7440e859-39e1-4343-9096-c91782d496dc,2011-05-31
43665,69,19F0-4638-8E,6,709,1,5.7,0.0,4a399178-c0a0-447e-9973-6ab903b4aecd,2011-05-31
43665,70,19F0-4638-8E,1,776,1,2024.994,0.0,0d2a679c-6c8e-4cc2-8a55-b8db83937ac2,2011-05-31
43666,71,D46A-40CA-8D,1,764,1,419.4589,0.0,0a256c7d-f7e7-408a-85b5-4e78b5b0b3b9,2011-05-31
43666,72,D46A-40CA-8D,1,753,1,2146.962,0.0,64220638-532f-41e5-8b4e-b95640f9627e,2011-05-31
43666,73,D46A-40CA-8D,1,732,1,356.898,0.0,e992a08a-a9fd-4947-8ef2-51aae82aa60e,2011-05-31
43666,74,D46A-40CA-8D,1,756,1,874.794,0.0,2a447589-1d30-4377-9856-1a28d0d6915e,2011-05-31
43666,75,D46A-40CA-8D,2,768,1,419.4589,0.0,f919e665-34ba-4075-aa2e-e699d697454c,2011-05-31
43666,76,D46A-40CA-8D,1,766,1,419.4589,0.0,92a93f80-9f8a-4448-8038-ca1f50b6e8dd,2011-05-31
43667,77,4DFB-4B10-A6,3,710,1,5.7,0.0,a3f2749d-522e-41b3-8c1f-fbde9592d4e0,2011-05-31
43667,78,4DFB-4B10-A6,1,773,1,2039.994,0.0,359b0751-12c8-4875-82aa-c8250a1cf9a9,2011-05-31
43667,79,4DFB-4B10-A6,1,778,1,2024.994,0.0,14a291b7-6e23-4afd-aec3-4f29c007a766,2011-05-31
43667,80,4DFB-4B10-A6,1,775,1,2024.994,0.0,151ddee1-4345-427b-b285-7b0040621dd8,2011-05-31
43668,81,365D-4C9A-BE,3,756,1,874.794,0.0,10a9a123-e763-4933-917b-0e48d3ec48e5,2011-05-31
43668,82,365D-4C9A-BE,2,753,1,2146.962,0.0,e5037fac-fb6f-4408-9edb-8a58875656d2,2011-05-31
43668,83,365D-4C9A-BE,7,760,1,419.4589,0.0,9597c1cd-e8ee-4605-8080-32d4dbda3f2c,2011-05-31
